code_commune,nom_commune,code_departement,prix_moyen,nb_ventes
02554,Nogentel,02,2147.59310478441,17
02555,Nogent-l'Artaud,02,1880.7704598828248,43
02558,Le Nouvion-en-Thiérache,02,1103.0111772668577,34
02559,Nouvion-et-Catillon,02,1019.4062135243546,7
02564,Noyant-et-Aconin,02,1868.5329666365797,7
02565,Œuilly,02,1241.2469783800805,9
02566,Ognes,02,1590.601078368184,12
02568,Oigny-en-Valois,02,2818.3495129315584,7
02569,Oisy,02,874.235863570659,10
02574,Origny-en-Thiérache,02,1198.1385569998986,23
02575,Origny-Sainte-Benoite,02,884.3503344539622,15
02580,Oulchy-le-Château,02,1211.0478373192905,9
02593,Pasly,02,1858.4339568423609,17
02596,Pavant,02,1634.5555659941308,12
02598,Pernant,02,1927.0839604816385,11
02602,Pinon,02,1520.9274951963469,18
02610,Pommiers,02,2187.1990745007124,11
02613,Pontavert,02,1950.0997336797464,10
02619,Prémontré,02,1257.9944979279157,8
02624,Proisy,02,1058.1556425913532,10
02626,Prouvais,02,2146.337518113028,7
02631,Quierzy,02,1530.3254850629246,11
02636,Regny,02,772.0182565538507,6
02637,Remaucourt,02,1123.0869963575974,7
02643,Ressons-le-Long,02,2005.117046437489,15
02644,Retheuil,02,2971.29542778797,7
02645,Reuilly-Sauvigny,02,1303.9581304771177,6
02648,Ribemont,02,1261.1712781919998,23
02653,Romeny-sur-Marne,02,4457.344570866695,15
02659,Rouvroy,02,1928.2600818935387,6
02662,Rozet-Saint-Albin,02,1280.3136293108591,9
02666,Rozoy-sur-Serre,02,955.8324521240373,12
02667,Saconin-et-Breuil,02,1352.3375307366696,8
02672,Saint-Bandry,02,1782.976510781156,6
02673,Saint-Christophe-à-Berry,02,2370.7890823651787,7
02676,Saint-Erme-Outre-et-Ramecourt,02,1128.4697174824196,32
02680,Saint-Gobain,02,1406.8790284486931,40
02684,Saint-Michel,02,1853.8297597065446,39
02687,Saint-Pierre-Aigle,02,2962.9142409314823,7
02691,Saint-Quentin,02,3091.888645612057,1030
02697,Samoussy,02,1398.6677819837635,7
02701,Saulchery,02,1724.9414642364338,26
02703,Seboncourt,02,1249.829833994921,20
02706,Septmonts,02,1668.0312061208922,6
02710,Seraucourt-le-Grand,02,1865.1311110818456,7
02714,Sermoise,02,1211.4358375977322,7
02717,Séry-lès-Mézières,02,1288.9471986789995,6
02719,Sinceny,02,1211.7326033119843,29
02720,Sissonne,02,1476.2719579154764,24
02721,Sissy,02,1429.8743042763563,9
02722,Soissons,02,2391.2996532558955,387
02726,Sommette-Eaucourt,02,816.2483698623075,8
02727,Sons-et-Ronchères,02,1038.5469234032646,7
02738,Tergnier,02,1771.5374644812646,156
02746,Travecy,02,2326.2362502388055,11
02748,Trélou-sur-Marne,02,1527.0773582150503,10
02750,Trosly-Loire,02,1438.9972164154728,8
02753,Tupigny,02,1430.915901506208,6
02756,Urvillers,02,1349.6218982527014,7
02757,Vadencourt,02,1177.6887044415432,11
02758,Vailly-sur-Aisne,02,1964.1624897503561,34
02767,Vauxrezis,02,2511.928522922857,8
02770,Vauxbuin,02,2629.5000640736325,22
02775,Vendeuil,02,1385.8491146120011,9
02780,Venizel,02,1438.4693819955596,8
02788,Versigny,02,1259.125969262503,8
02789,Vervins,02,2004.2029718239962,21
02791,Veslud,02,1138.6798572922512,6
02795,Vic-sur-Aisne,02,1677.3448021689294,14
02798,Viels-Maisons,02,2023.865877078828,9
02799,Vierzy,02,3332.3506808463517,11
02805,Villeneuve-Saint-Germain,02,1613.1779315532308,28
02806,Villeneuve-sur-Fère,02,1578.0325756636278,8
02807,Villequier-Aumont,02,1400.7837436845116,7
02810,Villers-Cotterêts,02,2115.4433775971797,110
02816,Villers-sur-Fère,02,3192.662389735365,6
02818,Villiers-Saint-Denis,02,1965.5899613597785,8
02820,Viry-Noureuil,02,1364.6805487906258,21
02821,Vivaise,02,1285.3737906088436,6
02830,Wassigny,02,1418.5962899565584,7
03001,Abrest,03,2675.838419856973,59
03003,Ainay-le-Château,03,1084.7149656339852,17
03006,Arfeuilles,03,2158.6505739797312,18
03011,Aurouër,03,1683.1497265673763,8
03013,Avermes,03,2032.3070555026857,49
03014,Avrilly,03,2032.3956742268515,11
03015,Bagneux,03,1634.6346907568136,8
03018,Bayet,03,1646.1142705291504,16
03019,Beaulon,03,1485.729798655395,23
03020,Beaune-d'Allier,03,928.750815394651,6
03022,Bellenaves,03,1266.8436711924107,23
03023,Bellerive-sur-Allier,03,2203.841732097368,154
03024,Bert,03,1238.7959329490093,9
03025,Bessay-sur-Allier,03,2456.698962998684,40
03026,Besson,03,1086.396860526931,6
03027,Bézenet,03,971.9912095518685,18
03028,Billezois,03,1542.7002436231392,7
03029,Billy,03,1559.4853365448287,31
03030,Biozat,03,1625.4313648380519,17
03032,Blomard,03,1750.0027126657562,12
03034,Boucé,03,1081.2998738602603,9
